player,season,top10_home_games_played,top10_home_points_avg,top10_home_rebounds_avg,top10_home_assists_avg,top10_home_steals_avg,top10_home_blocks_avg,top10_home_turnovers_avg,top10_away_games_played,top10_away_points_avg,top10_away_rebounds_avg,top10_away_assists_avg,top10_away_steals_avg,top10_away_blocks_avg,top10_away_turnovers_avg,mid_home_games_played,mid_home_points_avg,mid_home_rebounds_avg,mid_home_assists_avg,mid_home_steals_avg,mid_home_blocks_avg,mid_home_turnovers_avg,mid_away_games_played,mid_away_points_avg,mid_away_rebounds_avg,mid_away_assists_avg,mid_away_steals_avg,mid_away_blocks_avg,mid_away_turnovers_avg,bottom10_home_games_played,bottom10_home_points_avg,bottom10_home_rebounds_avg,bottom10_home_assists_avg,bottom10_home_steals_avg,bottom10_home_blocks_avg,bottom10_home_turnovers_avg,bottom10_away_games_played,bottom10_away_points_avg,bottom10_away_rebounds_avg,bottom10_away_assists_avg,bottom10_away_steals_avg,bottom10_away_blocks_avg,bottom10_away_turnovers_avg
Precious Achiuwa,2023-24,16.0,8.31,6.56,1.19,0.62,1.25,0.0,13.0,5.08,4.54,1.0,0.62,0.69,0.0,15.0,9.73,7.6,1.67,0.73,1.4,0.0,10.0,9.9,7.6,2.2,0.5,0.4,0.0,13.0,7.0,7.0,1.0,0.62,0.69,0.0,7.0,4.29,6.0,0.71,0.57,0.71,0.0
Bam Adebayo,2023-24,11.0,20.73,10.91,4.09,1.09,1.64,0.0,9.0,22.44,10.44,4.0,1.11,0.89,0.0,12.0,16.17,8.42,3.67,0.83,0.33,0.0,14.0,19.71,10.71,4.36,1.43,0.43,0.0,13.0,18.85,10.46,4.0,1.08,1.23,0.0,12.0,18.5,11.33,3.33,1.25,1.17,0.0
Ochai Agbaji,2023-24,7.0,2.71,1.71,0.57,0.14,0.43,0.0,13.0,6.08,3.69,1.62,0.69,0.54,0.0,15.0,4.8,2.73,0.8,0.27,0.6,0.0,10.0,8.5,2.8,0.7,0.5,0.4,0.0,16.0,6.56,3.0,1.31,1.12,0.62,0.0,17.0,5.59,2.29,1.06,0.59,0.65,0.0
Santi Aldama,2023-24,10.0,11.8,6.6,2.8,0.7,0.9,0.0,5.0,14.6,6.4,3.0,1.4,2.2,0.0,9.0,10.67,5.0,2.11,0.78,0.56,0.0,10.0,10.5,6.1,2.7,0.8,0.6,0.0,11.0,11.36,5.73,1.82,0.55,0.55,0.0,16.0,8.56,5.31,1.81,0.5,1.06,0.0
Nickeil Alexander-Walker,2023-24,12.0,7.67,2.08,2.92,0.75,1.25,0.0,13.0,8.31,2.15,2.31,0.77,0.54,0.0,13.0,8.38,1.08,1.92,0.85,0.38,0.0,12.0,7.33,1.5,1.92,0.5,0.25,0.0,16.0,6.25,2.62,2.44,0.94,0.25,0.0,16.0,9.88,2.5,3.25,0.81,0.5,0.0
Grayson Allen,2023-24,12.0,15.58,4.25,3.92,0.92,0.67,0.0,13.0,13.77,3.31,2.54,0.85,0.31,0.0,12.0,16.58,3.58,3.25,1.25,0.75,0.0,11.0,13.0,3.82,2.55,0.64,0.55,0.0,13.0,10.92,4.0,2.85,1.15,0.85,0.0,14.0,11.71,4.57,3.07,0.71,0.5,0.0
Jarrett Allen,2023-24,12.0,19.0,11.0,3.33,0.42,0.83,0.0,13.0,16.38,9.15,2.92,0.46,0.77,0.0,14.0,17.07,10.29,2.57,0.93,0.71,0.0,14.0,16.0,11.5,2.79,0.93,1.0,0.0,12.0,15.08,11.08,2.75,0.92,1.83,0.0,12.0,15.5,10.17,2.0,0.42,1.25,0.0
Jose Alvarado,2023-24,8.0,5.12,2.0,1.0,0.5,0.25,0.0,10.0,7.9,2.6,2.4,0.9,0.2,0.0,7.0,6.86,1.29,1.86,1.14,0.14,0.0,10.0,7.5,3.1,2.6,1.0,0.3,0.0,10.0,7.5,2.0,2.5,1.5,0.5,0.0,11.0,7.18,2.36,1.91,1.18,0.18,0.0
Kyle Anderson,2023-24,11.0,8.27,3.55,4.55,1.09,0.64,0.0,13.0,7.23,4.0,4.38,0.69,0.77,0.0,12.0,5.67,2.92,4.25,0.5,0.58,0.0,12.0,6.25,3.42,4.25,1.0,0.25,0.0,16.0,6.38,3.25,3.88,0.94,0.88,0.0,15.0,5.07,3.6,4.0,1.13,0.4,0.0
Giannis Antetokounmpo,2023-24,13.0,26.08,10.54,6.77,0.85,1.38,0.0,9.0,30.11,10.44,7.11,0.89,0.56,0.0,15.0,32.27,11.67,5.87,1.33,1.0,0.0,14.0,32.21,10.5,6.43,1.71,1.07,0.0,10.0,24.8,13.4,6.3,1.1,1.4,0.0,12.0,35.75,12.83,6.92,1.08,1.0,0.0
Cole Anthony,2023-24,14.0,10.79,3.86,2.79,0.71,0.36,0.0,14.0,12.14,3.86,3.21,1.07,0.43,0.0,14.0,13.43,4.64,3.71,0.57,0.64,0.0,13.0,11.31,3.38,3.38,0.85,0.62,0.0,13.0,10.77,3.62,2.0,0.69,0.38,0.0,13.0,10.85,3.62,2.31,0.85,0.31,0.0
OG Anunoby,2023-24,9.0,18.11,3.56,2.78,1.89,0.44,0.0,9.0,11.56,3.89,1.89,1.22,1.0,0.0,9.0,13.56,4.67,2.89,1.0,0.67,0.0,10.0,14.9,3.7,2.0,0.8,0.9,0.0,7.0,14.86,4.0,0.86,2.0,0.86,0.0,6.0,15.17,5.67,2.17,1.5,0.33,0.0
Deni Avdija,2023-24,12.0,13.33,7.58,4.0,0.5,0.58,0.0,14.0,12.07,6.0,3.29,0.71,0.29,0.0,15.0,14.73,7.6,3.67,1.13,0.47,0.0,14.0,15.64,6.36,4.07,0.71,0.5,0.0,10.0,16.7,7.1,4.0,0.7,0.6,0.0,10.0,16.6,9.1,4.0,1.0,0.5,0.0
Deandre Ayton,2023-24,13.0,14.85,9.92,1.31,1.23,0.62,0.0,10.0,15.1,8.9,2.0,1.0,0.7,0.0,9.0,20.33,13.67,1.11,0.67,0.89,0.0,7.0,17.57,14.43,1.71,0.71,0.71,0.0,7.0,17.29,11.43,2.0,1.0,0.71,0.0,9.0,16.56,9.67,1.89,1.33,1.0,0.0
Marvin Bagley III,2023-24,13.0,11.38,6.23,0.69,0.46,0.38,0.0,6.0,9.0,6.0,2.17,0.83,0.83,0.0,4.0,13.25,8.25,0.75,0.0,0.75,0.0,11.0,12.0,5.64,1.09,0.27,0.82,0.0,7.0,12.86,6.14,1.14,0.29,0.71,0.0,9.0,11.78,6.33,1.11,0.44,0.67,0.0
