player,opponent,home_away,mid_home_games_played,mid_home_points_avg,mid_home_rebounds_avg,mid_home_assists_avg,mid_home_steals_avg,mid_home_blocks_avg,mid_home_turnovers_avg,points,rebounds,assists,steals,blocks,turnovers,bottom10_home_games_played,bottom10_home_points_avg,bottom10_home_rebounds_avg,bottom10_home_assists_avg,bottom10_home_steals_avg,bottom10_home_blocks_avg,bottom10_home_turnovers_avg,top10_away_games_played,top10_away_points_avg,top10_away_rebounds_avg,top10_away_assists_avg,top10_away_steals_avg,top10_away_blocks_avg,top10_away_turnovers_avg,mid_away_games_played,mid_away_points_avg,mid_away_rebounds_avg,mid_away_assists_avg,mid_away_steals_avg,mid_away_blocks_avg,mid_away_turnovers_avg,bottom10_away_games_played,bottom10_away_points_avg,bottom10_away_rebounds_avg,bottom10_away_assists_avg,bottom10_away_steals_avg,bottom10_away_blocks_avg,bottom10_away_turnovers_avg,top10_home_games_played,top10_home_points_avg,top10_home_rebounds_avg,top10_home_assists_avg,top10_home_steals_avg,top10_home_blocks_avg,top10_home_turnovers_avg
Precious Achiuwa,CHI,home,15.0,9.73,7.6,1.67,0.73,1.4,0.0,4,5,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,BKN,home,,,,,,,,5,3,0,0,0,0,13.0,7.0,7.0,1.0,0.62,0.69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,BOS,away,,,,,,,,2,5,0,0,1,0,,,,,,,,13.0,5.08,4.54,1.0,0.62,0.69,0.0,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,MIL,away,,,,,,,,0,0,0,0,0,0,,,,,,,,13.0,5.08,4.54,1.0,0.62,0.69,0.0,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,CHI,away,,,,,,,,0,4,1,1,0,0,,,,,,,,,,,,,,,10.0,9.9,7.6,2.2,0.5,0.4,0.0,,,,,,,,,,,,,,
Precious Achiuwa,SAC,home,15.0,9.73,7.6,1.67,0.73,1.4,0.0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,MIA,away,,,,,,,,2,6,0,1,0,0,,,,,,,,13.0,5.08,4.54,1.0,0.62,0.69,0.0,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,OKC,home,,,,,,,,8,9,0,0,2,0,13.0,7.0,7.0,1.0,0.62,0.69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,SAS,away,,,,,,,,6,5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,7.0,4.29,6.0,0.71,0.57,0.71,0.0,,,,,,,
Precious Achiuwa,TOR,away,,,,,,,,19,12,3,1,2,0,,,,,,,,,,,,,,,10.0,9.9,7.6,2.2,0.5,0.4,0.0,,,,,,,,,,,,,,
Precious Achiuwa,DET,home,,,,,,,,9,16,1,1,1,0,13.0,7.0,7.0,1.0,0.62,0.69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,BKN,home,,,,,,,,0,3,1,0,0,0,13.0,7.0,7.0,1.0,0.62,0.69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,DEN,away,,,,,,,,9,5,3,0,2,0,,,,,,,,13.0,5.08,4.54,1.0,0.62,0.69,0.0,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,GSW,away,,,,,,,,6,9,1,0,0,0,,,,,,,,13.0,5.08,4.54,1.0,0.62,0.69,0.0,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,SAC,away,,,,,,,,2,5,4,0,1,0,,,,,,,,,,,,,,,10.0,9.9,7.6,2.2,0.5,0.4,0.0,,,,,,,,,,,,,,
Precious Achiuwa,POR,away,,,,,,,,4,7,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,7.0,4.29,6.0,0.71,0.57,0.71,0.0,,,,,,,
